OBJECTID_1 *,Shape *,condition,springpres,COUNT,SUM,boul_area,length_m,area_leng,boul_pres,Shape_Length
1,Polyline,Dry,0,<Null>,<Null>,<Null>,264.8358,<Null>,0,0.002943
2,Polyline,Dry,0,5479,14930275,14.93027,10.01348,1.491017,1,0.000111
3,Polyline,Wet,0,2499,6809775,6.809775,1.631012,4.175184,1,0.000018
4,Polyline,Dry,0,278,757550,0.75755,4.677375,0.161961,1,0.000052
5,Polyline,Wet,0,4620,12589500,12.5895,19.17996,0.656388,1,0.000213
6,Polyline,Dry,0,<Null>,<Null>,<Null>,29.8958,<Null>,0,0.000332
7,Polyline,Wet,1,26326,71738350,71.73835,240.599,0.298166,1,0.002673
8,Polyline,Wet,1,25008,68146800,68.1468,595.3041,0.114474,1,0.006614
9,Polyline,Dry,0,<Null>,<Null>,<Null>,8.776577,<Null>,0,0.000098
10,Polyline,Wet,0,<Null>,<Null>,<Null>,87.54496,<Null>,0,0.000973
11,Polyline,Dry,0,<Null>,<Null>,<Null>,392.3971,<Null>,0,0.00436
12,Polyline,Wet,0,8395,22876375,22.87638,4.138873,5.527199,1,0.000046
13,Polyline,Dry,0,106,288850,0.28885,0.669618,0.431366,1,0.000007
14,Polyline,Wet,0,5315,14483375,14.48337,12.13316,1.193701,1,0.000135
15,Polyline,Dry,0,<Null>,<Null>,<Null>,78.03165,<Null>,0,0.000867
16,Polyline,Wet,0,<Null>,<Null>,<Null>,12.58521,<Null>,0,0.00014
17,Polyline,Dry,0,<Null>,<Null>,<Null>,36.48471,<Null>,0,0.000405
18,Polyline,Wet,0,<Null>,<Null>,<Null>,0.723095,<Null>,0,0.000008
19,Polyline,Wet,0,<Null>,<Null>,<Null>,3.340382,<Null>,0,0.000037
20,Polyline,Dry,0,<Null>,<Null>,<Null>,3.643018,<Null>,0,0.00004
21,Polyline,Wet,0,<Null>,<Null>,<Null>,40.77328,<Null>,0,0.000453
22,Polyline,Dry,0,<Null>,<Null>,<Null>,2.033417,<Null>,0,0.000023
23,Polyline,Dry,0,<Null>,<Null>,<Null>,1.42918,<Null>,0,0.000016
24,Polyline,Wet,0,<Null>,<Null>,<Null>,0.604275,<Null>,0,0.000007
25,Polyline,Wet,1,4749,12941025,12.94102,14.67802,0.88166,1,0.000163
26,Polyline,Wet,0,26471,72133475,72.13348,523.0587,0.137907,1,0.005812
27,Polyline,Dry,0,50301,137070225,137.0702,522.7884,0.262191,1,0.005809
28,Polyline,Wet,0,10539,28718775,28.71877,281.2534,0.10211,1,0.003125
29,Polyline,Dry,0,17568,47872800,47.8728,282.7566,0.169308,1,0.003142
30,Polyline,Dry,0,6847,18658075,18.65808,38.42293,0.485597,1,0.000427
31,Polyline,Wet,0,11071,30168475,30.16847,14.94807,2.018218,1,0.000166
32,Polyline,Wet,0,<Null>,<Null>,<Null>,13.41781,<Null>,0,0.000149
33,Polyline,Dry,0,<Null>,<Null>,<Null>,2.051775,<Null>,0,0.000023
34,Polyline,Dry,0,<Null>,<Null>,<Null>,0.486342,<Null>,0,0.000005
35,Polyline,Wet,0,<Null>,<Null>,<Null>,6.317568,<Null>,0,0.00007
36,Polyline,Dry,0,<Null>,<Null>,<Null>,17.33806,<Null>,0,0.000193
37,Polyline,Wet,0,<Null>,<Null>,<Null>,12.24078,<Null>,0,0.000136
38,Polyline,Dry,0,<Null>,<Null>,<Null>,1.406077,<Null>,0,0.000016
39,Polyline,Wet,1,3644,9929900,9.9299,3.722683,2.667404,1,0.000041
40,Polyline,Dry,0,3836,10453100,10.4531,1.406153,7.433828,1,0.000016
41,Polyline,Wet,0,19771,53875975,53.87598,18.0579,2.983513,1,0.000201
42,Polyline,Dry,0,81,220725,0.220725,4.578886,0.048205,1,0.000051
43,Polyline,Wet,0,10535,28707875,28.70787,45.92007,0.625171,1,0.00051
44,Polyline,Dry,0,<Null>,<Null>,<Null>,1.261214,<Null>,0,0.000014
45,Polyline,Wet,0,<Null>,<Null>,<Null>,99.1301,<Null>,0,0.001101
46,Polyline,Dry,0,14249,38828525,38.82853,215.3869,0.180273,1,0.002393
