OBJECTID_12 *,Shape *,c15_sept,c16_oct,c17_oct,Shape_Length
1,Polyline,Dry,Wet,Dry,0.000269
2,Polyline,Dry,Wet,Dry,0.000102
3,Polyline,Dry,Wet,Dry,0.000143
4,Polyline,Dry,Wet,Dry,0.00012
5,Polyline,Dry,Wet,Dry,0.00013
6,Polyline,Dry,Wet,Dry,0.000235
7,Polyline,Dry,Dry,Dry,0.000168
8,Polyline,Dry,Dry,Dry,0.000068
9,Polyline,Dry,Dry,Dry,0.000173
10,Polyline,Dry,Dry,Dry,0.000187
11,Polyline,Dry,Wet,Dry,0.0001
12,Polyline,Dry,Wet,Dry,0.00009
13,Polyline,Dry,Wet,Dry,0.00002
14,Polyline,Dry,Wet,Dry,0.000069
15,Polyline,Dry,Wet,Dry,0.000021
16,Polyline,Dry,Wet,Dry,0.000038
17,Polyline,Dry,Dry,Dry,0.000006
18,Polyline,Dry,Dry,Dry,0.000019
19,Polyline,Dry,Wet,Dry,0.000153
20,Polyline,Dry,Wet,Dry,0.000042
21,Polyline,Dry,Wet,Dry,0.000238
22,Polyline,Dry,Wet,Wet,0.000162
23,Polyline,Dry,Wet,Wet,0.000192
24,Polyline,Dry,Dry,Wet,0.000197
25,Polyline,Dry,Dry,Wet,0.000152
26,Polyline,Dry,Dry,Dry,0.000183
27,Polyline,Dry,Dry,Dry,0.000196
28,Polyline,Dry,Dry,Wet,0.000243
29,Polyline,Dry,Dry,Wet,0.000143
30,Polyline,Dry,Dry,Wet,0.000383
31,Polyline,Dry,Wet,Wet,0.000531
32,Polyline,Dry,Wet,Wet,0.000218
33,Polyline,Dry,Dry,Wet,0.000481
34,Polyline,Dry,Wet,Wet,0.000155
35,Polyline,Dry,Dry,Wet,0.000175
36,Polyline,Dry,Dry,Wet,0.000802
37,Polyline,Dry,Dry,Wet,0.000221
38,Polyline,Dry,Dry,Wet,0.000049
39,Polyline,Dry,Dry,Wet,0.000321
40,Polyline,Dry,Dry,Wet,0.000121
41,Polyline,Dry,Wet,Wet,0.000232
42,Polyline,Dry,Wet,Wet,0.000035
43,Polyline,Dry,Wet,Wet,0.000008
44,Polyline,Dry,Wet,Wet,0.000041
45,Polyline,Dry,Wet,Wet,0.000034
46,Polyline,Dry,Wet,Wet,0.000066
47,Polyline,Dry,Wet,Wet,0.000086
48,Polyline,Dry,Dry,Wet,0.000128
49,Polyline,Dry,Dry,Wet,0.000061
50,Polyline,Dry,Wet,Wet,0.000058
51,Polyline,Dry,Dry,Wet,0.000075
52,Polyline,Dry,Dry,Wet,0.000022
53,Polyline,Dry,Dry,Wet,0.000086
54,Polyline,Dry,Wet,Wet,0.000289
55,Polyline,Dry,Wet,Wet,0.00008
56,Polyline,Dry,Wet,Wet,0.000113
57,Polyline,Dry,Wet,Wet,0.000201
58,Polyline,Dry,Wet,Wet,0.000192
59,Polyline,Dry,Wet,Wet,0.000168
60,Polyline,Dry,Dry,Wet,0.000037
61,Polyline,Dry,Dry,Wet,0.000021
62,Polyline,Dry,Dry,Wet,0.000202
